"iso","umd_tree_cover_extent_2000__ha","area__ha"
"GAB",24690965.17151052537738977,26454969.88269804421013943
"GBR",3695599.410973863414269193,24548497.615148175423935881
"GEO",3144573.090796425445187970,6984457.386674015752126870
"GGY",1508.20499580711175419,8844.93755900429020659
"GHA",6955668.11695480135807533,23832413.12141034627772074
"GIB",119.85350947555190041,721.21646588086888468
"GIN",8159637.06972595489346078,24481606.68352496350752149
"GLP",94757.79385749384073710,165028.80176985176155870
"GMB",4562.45664966192544284,1067050.75194435844886092
"GNB",1069848.61390145787959711,3388205.00461483699769536
"GNQ",2654595.05549444515029072,2695935.33829351043051266
"GRC",3672496.928590538067707071,13257505.410982563414473923
"GRD",28534.39672515480226750,35953.33668168432736735
"GRL",0.0,12409768.8281035665962254
"GTM",7693455.58401470794661149,10915098.49020868956610653
"GUF",8162751.08527552193955276,8330096.72652936063859090
"GUY",18996032.65976319202500905,20974416.13835465049500436
"HKG",62046.32394555437495228,112913.21583202554545869
"HND",7740481.98080445534398211,11228979.89758776671105065
"HRV",2431307.547131616654563305,5707840.168680598118569496
"HTI",858466.37960017182103648,2710683.58727044262645991
"HUN",1990161.061775895697816416,9305263.744425356595496794
"IDN",160641223.17278598031931625,189024469.02160902743826538
"IMN",13217.149622415012573656,57966.50957257277137067
"IND",38830351.46155713489860303,315279651.23345351233845593
"IRL",841570.768495407352431849,7036644.695622486839131969
"IRN",1731591.999922455002900539,162133835.239973456181056438
"IRQ",17504.25585701231376077,44535864.694018214942589614
"ISL",0.0,10222425.829563000106612
"ISR",29485.15502806053687230,2215883.36642832603187515
"ITA",9318960.444527800722806338,30075442.783972416942822455
"JAM",768439.99158163067530085,1099979.93279549949227690
"JEY",1549.970697562917347176,12512.55195694721514726
"JOR",2271.45974126645324960,8911879.30130867962852794
"JPN",26387254.411336519941997773,37240326.722329560760322764
"KAZ",4240315.679627633166228985,273053036.224285595071087303
"KEN",3319482.95848818292029626,58598335.71897411515870936
"KGZ",674974.25637392449030962,19864898.703856747822037725
"KHM",8809929.84861527067206691,18135960.79359421957352821
"KIR",0.0,689.8485050324881
"KNA",13259.95374941062116053,26717.78772642656839816
"KOR",5367962.225609111623596590,10022829.791972686081496459
"KWT",0.0,1738893.79534968258713539
"LAO",19129551.50593012268350646,23000147.78672083632749494
"LBN",65235.17381314542684025,1023803.86081598356814082
"LBR",9384713.47510011384936836,9591801.58297125722606910
"LBY",6833.00933028865193139,161606184.84788122895185319
"LCA",50731.18581798229471262,61447.62916555835105209
"LIE",9077.337999985740415847,16203.809321930194903313
"LKA",3939923.71486808259801593,6583727.01456347884004820
"LSO",6051.93664161145122270,3054531.16285746074062652
"LTU",2336226.279164741389134103,6501662.939352707701128075
"LUX",101326.48540682140741146,258155.739396122292434670
"LVA",3553506.464905323266181510,6470996.260923911188500721
"MAC",413.18574739768431983,3412.78642429153371057
"MAF",1849.57709341686371325,5616.34278554048222387
"MAR",648568.62339039774866075,41348767.35079428630500981
"MCO",0.3916300133008147,235.297484478387009
"MDA",356012.101750217689440766,3390780.839077026258202591
"MDG",17141085.63787859139986216,59144707.32515477810322409
