"iso","Year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"VUT",2010,307.62891165367018332,176058.594149101952101
"XAD",2010,0.1271133352864511,33.73074623930724
"XCA",2010,21.9228294525990739,903.832641798964561
"XKO",2010,468.277228589148744512,228350.394114124350376
"XNC",2010,9.77342331237164877,2653.753926376186187
"ZAF",2010,61758.75127047632491709,39502058.598055902555723
"ZMB",2010,173983.63229596219596124,67790788.863551796100269
"ZWE",2010,6635.29841011634543261,2188482.024804308224284
"AFG",2011,112.95506217908010270,35489.232290298413700
"AGO",2011,182927.91545020970653915,56724401.865763268747333
"AIA",2011,1.024562784063527,203.24532866262794
"ALA",2011,465.82244312359456084,127698.352310278593914
"ALB",2011,1188.248195662697263120,381995.569627208092909
"AND",2011,0.91325760610684875,455.08075821278715
"ARG",2011,499187.177669362791138069,109326237.0264393374975647
"ARM",2011,173.988574498597596933,58726.457911794250066
"ATG",2011,25.83647597348670130,8624.911438240276167
"AUS",2011,121315.707314497985985036,44404082.2588850523325889
"AUT",2011,18089.761358071409578965,9254478.544598820222603
"AZE",2011,147.455688626256879966,42346.445421498114022
"BDI",2011,960.58653051652341900,383399.964028477363753
"BEL",2011,5016.26861897092820908,2686570.938004613383289
"BEN",2011,654.66752562128416774,256013.240997446861044
"BES",2011,8.80900175154091978,113.56533854783300
"BFA",2011,15.31876526850469238,4150.473805601758309
"BGD",2011,4181.29261432901380520,2114608.131807375526528
"BGR",2011,3331.690642235067147249,1338053.915837450181225
"BHS",2011,624.79385251988049256,172674.772893334448091
"BIH",2011,970.615088232732684288,443110.471126325479197
"BLR",2011,45367.013527749771038741,16082149.5101483888767315
"BLZ",2011,26386.27977817930637762,13125737.275948300298577
"BMU",2011,0.13045129684679002,45.038652607311555
"BOL",2011,330239.21071670698166434,144685079.800794650269587
"BRA",2011,1923363.69454664791740580,1038209802.906115993950003
"BRB",2011,18.13697372805092777,6948.126847074488186
"BRN",2011,2620.36323487672371993,1975317.603622607262709
"BTN",2011,1090.99358912728344335,604794.012827150211586
"BWA",2011,21.43335792785108290,3817.3688398714151115
"CAF",2011,49140.15489794572657464,22781537.864795292213806
"CAN",2011,2160700.601291773842255870,365453174.0699010830474449
"CHE",2011,1939.854318022464957294,1072032.566090586015104
"CHL",2011,99349.744020487850199978,37157044.3295494048665195
"CHN",2011,598586.621359708123720106,268787724.8038065696517332
"CIV",2011,124676.47787558313646264,58222570.099504282951636
"CMR",2011,27651.74510844797819465,15642678.360658168346715
"COD",2011,429540.07869338791055285,251050054.072794433494782
"COG",2011,28374.34432161539772444,16337379.912380408121483
"COL",2011,189829.01904874938086025,107318348.284272904720194
"COM",2011,122.61209920004995376,61183.707085502289225
"CPV",2011,16.40944346235270811,0.0
"CRI",2011,10495.81429712488480140,5514943.370160481835119
"CUB",2011,16312.75170920995849101,5686685.934134553536719
"CUW",2011,1.35466196400879771,396.92894528198806
"CYM",2011,39.77471242462783079,12235.575676546838407
"CYP",2011,118.52639279945669394,31371.903660404687772
"CZE",2011,21853.284871649470833430,10305537.661446946120138
"DEU",2011,34271.552045559747533059,16746749.978757390284005
"DMA",2011,44.46318314959480667,26644.905140181756084
"DNK",2011,3132.382286941128282700,1025029.202779458198361
"DOM",2011,12960.42198106052808942,5477003.673336133493128
"DZA",2011,8344.084462042184180495,2545790.339255948469431
"ECU",2011,43630.40736715415495561,29181633.982648393717370
"EGY",2011,102.62333657766848773,23060.527897515744168
"ESP",2011,39325.568509627216786098,15334602.6609836346912327
"EST",2011,27199.28504795746682390,7842796.618587408373616
"ETH",2011,15462.73447562667150509,7200407.882635758165772
"FIN",2011,159354.700891617209205380,33375891.2053070235369458
"FJI",2011,552.80239266238141013,296880.425864599062648
"FRA",2011,64074.316863003755345535,30084624.052730158585437
"GAB",2011,18160.65515839360917524,10913008.105136336325477
"GBR",2011,22656.555172213481938097,10356494.4862970259128470
"GEO",2011,539.714363789920842861,188895.833183871415565
"GGY",2011,0.504209011610221574,204.05797086445212
"GHA",2011,36242.63011312746602607,17091889.487475422914309
"GIN",2011,27637.96099240174104761,10160281.948445315387499
"GLP",2011,73.90693008628576390,33585.024779566773915
"GMB",2011,30.42262699526129697,6529.856125952425577
"GNB",2011,4283.91116133348134851,1627501.856724342656817
"GNQ",2011,7706.36452910549688727,4826280.797881950557020
"GRC",2011,6198.616501976527455408,1462368.5685470658206007
"GRD",2011,40.18600682171225181,24224.729045200155315
"GTM",2011,40586.90123930484186974,19685706.573361556274501
"GUF",2011,2708.79684456342026116,2103662.194437192083777
"GUY",2011,8362.98817154745584422,5709946.432700122883794
"HKG",2011,15.46864002420641902,6130.102973809832950
"HND",2011,52571.55292969338458361,25648228.442044002144157
"HRV",2011,2918.689847772106518072,1255119.2229341250292474
"HTI",2011,2564.21003283094458839,1002589.955136198614477
"HUN",2011,8225.275769275823124155,3177395.0728005529470307
"IDN",2011,1543628.92250059420014047,1173956756.6903000541761835
"IMN",2011,12.03946138514499862,4487.580697039999787
"IND",2011,88460.35915086765321230,41878761.272751849751577
"IRL",2011,3108.828269132495452333,1510416.4634705356141209
"IRN",2011,238.912150146482652417,59590.988025111154160
"IRQ",2011,3.29013553194241321,853.001225482978103
"ISR",2011,1065.39235168416037514,146699.183900284675487
"ITA",2011,11450.626571222052246591,3592138.728324593557791
"JAM",2011,2385.22242001268217592,1249863.074890566510840
"JEY",2011,3.188722275538013034,1423.997255777054161
"JPN",2011,35955.326889311200167757,16405215.3659168451303530
"KAZ",2011,4852.338242945032245724,1720008.3055350003594762
"KEN",2011,17299.75726552157516743,8225355.369485492461772
"KGZ",2011,111.98228054738182923,36814.743106518621268
"KHM",2011,192154.66546492090687481,124145040.865951688949499
"KNA",2011,12.35880575688710870,6091.682320385277741
"KOR",2011,11709.679021044825576163,4123293.292419090841521
"LAO",2011,130932.95836267507534480,70672922.508273039891433
"LBN",2011,139.40904701809121946,39784.1602778860729692
"LBR",2011,34444.33601962125786038,17241003.582390795924334
"LBY",2011,9.48761119705712535,2139.007903804172055
"LCA",2011,61.57842812026024246,34280.577625737978498
"LIE",2011,1.842936680490608485,1098.24273252856346
"LKA",2011,14736.92208366611554900,4898300.893315583109428
"LSO",2011,3.35407854459964749,965.020224217402768
"LTU",2011,21735.155513640693260249,7492079.611495155266345
"LUX",2011,447.808671521697801334,251145.225236386397650
"LVA",2011,44737.561134701523530220,14569086.607939321382699
"MAC",2011,0.71397523608394377,0.0
"MAF",2011,9.52015504182237416,3474.807311791199865
"MAR",2011,3392.46173780037878802,1006698.7077621875921635
